2 , 0.547934 
4 , 0.521334 
8 , 0.654188 
16 , 0.798272 
32 , 0.850113 
64 , 1.007206 
128 , 1.113119 
256 , 1.220613 
512 , 1.313074 
1024 , 1.503300 
2048 , 1.540071 
4096 , 1.647834 
8192 , 1.825209 
16384 , 1.918831 
32768 , 2.056235 
65536 , 2.285981 
131072 , 2.818295 
262144 , 3.475032 
524288 , 4.616353 
1048576 , 7.335235 
2097152 , 25.639852 
4194304 , 54.577220 
8388608 , 116.007772 
16777216 , 230.795351 
33554432 , 492.748330 
67108864 , 1004.367013 
2 , 0.447312 
4 , 0.550534 
8 , 0.646248 
16 , 0.785021 
32 , 0.878784 
64 , 0.964405 
128 , 1.085749 
256 , 1.211642 
512 , 1.253874 
1024 , 1.433168 
2048 , 1.518911 
4096 , 1.644394 
8192 , 1.584262 
16384 , 1.910891 
32768 , 2.086505 
65536 , 2.249640 
131072 , 2.779084 
262144 , 3.358610 
524288 , 4.782787 
1048576 , 7.494179 
2097152 , 25.356354 
4194304 , 53.934713 
8388608 , 114.207544 
16777216 , 227.492644 
33554432 , 489.658579 
67108864 , 1003.486000 
2 , 0.488393 
4 , 0.538945 
8 , 0.632817 
16 , 0.756500 
32 , 0.857533 
64 , 0.990516 
128 , 1.089369 
256 , 1.163010 
512 , 1.330756 
1024 , 1.405857 
2048 , 1.530760 
4096 , 1.593212 
8192 , 1.764047 
16384 , 1.806788 
32768 , 2.110006 
65536 , 2.333122 
131072 , 2.760483 
262144 , 3.553894 
524288 , 4.471479 
1048576 , 7.394437 
2097152 , 25.855977 
4194304 , 53.107131 
8388608 , 118.765935 
16777216 , 228.301131 
33554432 , 490.452446 
67108864 , 1008.670997 
2 , 0.512144 
4 , 0.526124 
8 , 0.656708 
16 , 0.777961 
32 , 0.871083 
64 , 0.979106 
128 , 1.074748 
256 , 1.195991 
512 , 1.234483 
1024 , 1.390447 
2048 , 1.543331 
4096 , 1.646584 
8192 , 1.779917 
16384 , 1.895620 
32768 , 2.076515 
65536 , 2.324181 
131072 , 2.758173 
262144 , 3.464082 
524288 , 4.799487 
1048576 , 7.172570 
2097152 , 25.453674 
4194304 , 54.042230 
8388608 , 114.271334 
16777216 , 230.742605 
33554432 , 490.617701 
67108864 , 1000.525882 
2 , 0.454182 
4 , 0.551145 
8 , 0.655787 
16 , 0.752050 
32 , 0.898944 
64 , 1.007886 
128 , 1.119959 
256 , 1.224672 
512 , 1.336225 
1024 , 1.356596 
2048 , 1.514950 
4096 , 1.596773 
8192 , 1.766357 
16384 , 1.891820 
32768 , 2.091406 
65536 , 2.279890 
131072 , 2.729732 
262144 , 3.489502 
524288 , 4.475028 
1048576 , 7.412926 
2097152 , 25.128705 
4194304 , 52.965661 
8388608 , 116.309267 
16777216 , 232.926062 
33554432 , 490.891818 
67108864 , 1005.274268 
2 , 0.449802 
4 , 0.492283 
8 , 0.652937 
16 , 0.784471 
32 , 0.876623 
64 , 0.955085 
128 , 1.109720 
256 , 1.216382 
512 , 1.284584 
1024 , 1.404617 
2048 , 1.480889 
4096 , 1.556901 
8192 , 1.757376 
16384 , 1.909740 
32768 , 2.086096 
65536 , 2.292771 
131072 , 2.767363 
262144 , 3.431181 
524288 , 4.794697 
1048576 , 7.153209 
2097152 , 25.862904 
4194304 , 54.246026 
8388608 , 114.635113 
16777216 , 230.262152 
33554432 , 492.685785 
67108864 , 1003.219133 
2 , 0.421181 
4 , 0.525353 
8 , 0.670488 
16 , 0.768141 
32 , 0.812631 
64 , 1.000517 
128 , 1.050218 
256 , 1.203662 
512 , 1.240743 
1024 , 1.408448 
2048 , 1.508531 
4096 , 1.594802 
8192 , 1.789748 
16384 , 1.937541 
32768 , 2.014944 
65536 , 2.248880 
131072 , 2.778044 
262144 , 3.473873 
524288 , 4.714226 
1048576 , 7.324865 
2097152 , 25.549281 
4194304 , 54.580505 
8388608 , 115.528840 
16777216 , 230.273980 
