2 , 0.003140 
4 , 0.480173 
8 , 0.508193 
16 , 0.648037 
32 , 0.735539 
64 , 0.849832 
128 , 1.010427 
256 , 1.085459 
512 , 1.194421 
1024 , 1.349296 
2048 , 1.408097 
4096 , 1.513250 
8192 , 1.638683 
16384 , 1.799278 
32768 , 1.958702 
65536 , 2.134107 
131072 , 2.534657 
262144 , 3.137603 
524288 , 4.276204 
1048576 , 6.537293 
2097152 , 12.001778 
4194304 , 37.068095 
8388608 , 80.150609 
16777216 , 156.497618 
33554432 , 337.025534 
67108864 , 684.409673 
2 , 0.002040 
4 , 0.433251 
8 , 0.555895 
16 , 0.623456 
32 , 0.773600 
64 , 0.863872 
128 , 0.847262 
256 , 1.107390 
512 , 1.236973 
1024 , 1.291394 
2048 , 1.440518 
4096 , 1.525131 
8192 , 1.582372 
16384 , 1.819519 
32768 , 1.987273 
65536 , 2.145857 
131072 , 2.530828 
262144 , 2.989340 
524288 , 4.170961 
1048576 , 6.710428 
2097152 , 12.347388 
4194304 , 33.936811 
8388608 , 79.475941 
16777216 , 160.922685 
33554432 , 334.508407 
67108864 , 691.831890 
2 , 0.002040 
4 , 0.401800 
8 , 0.541105 
16 , 0.655247 
32 , 0.935145 
64 , 0.881344 
128 , 0.988476 
256 , 1.118100 
512 , 1.198572 
1024 , 1.301855 
2048 , 1.453378 
4096 , 1.551431 
8192 , 1.667084 
16384 , 1.729616 
32768 , 1.989113 
65536 , 2.071695 
131072 , 2.400684 
262144 , 3.102912 
524288 , 4.347055 
1048576 , 6.418080 
2097152 , 12.517993 
4194304 , 36.566872 
8388608 , 80.437387 
16777216 , 160.272661 
33554432 , 330.129735 
67108864 , 691.877785 
2 , 0.002000 
4 , 0.451062 
8 , 0.525183 
16 , 0.659808 
32 , 0.742560 
64 , 0.917764 
128 , 0.916004 
256 , 1.113109 
512 , 1.212842 
1024 , 1.297125 
2048 , 1.483910 
4096 , 1.472569 
8192 , 1.661274 
16384 , 1.835968 
32768 , 1.934321 
65536 , 2.201279 
131072 , 2.451075 
262144 , 3.174164 
524288 , 4.528669 
1048576 , 6.746538 
2097152 , 12.386347 
4194304 , 36.361832 
8388608 , 78.950129 
16777216 , 157.439206 
33554432 , 328.085020 
67108864 , 693.201661 
