Size, Time 
16384 ,0.080896
32768 ,0.070656
65536 ,0.098368
131072 ,0.260096
262144 ,0.269312
524288 ,0.280576
1048576 ,0.27648
2 ,0.068608
4 ,0.06656
8 ,0.07168
16 ,0.06656
32 ,0.07168
64 ,0.069632
128 ,0.071648
256 ,0.070656
512 ,0.072704
1024 ,0.08192
2048 ,0.074752
4096 ,0.071648
8192 ,0.070656
16384 ,0.072704
32768 ,0.072704
65536 ,0.073664
131072 ,0.288768
262144 ,0.26112
524288 ,0.26624
1048576 ,0.29696
2 ,0.067584
4 ,0.070656
8 ,0.065536
16 ,0.072704
32 ,0.07168
64 ,0.07168
128 ,0.067584
256 ,0.07168
512 ,0.067584
1024 ,0.065536
2048 ,0.072704
4096 ,0.070656
8192 ,0.068608
16384 ,0.06656
32768 ,0.070656
65536 ,0.071616
131072 ,0.253952
262144 ,0.257024
524288 ,0.2816
1048576 ,0.282624
2 ,0.069632
4 ,0.072704
8 ,0.0696
16 ,0.084
32 ,0.069568
64 ,0.070656
128 ,0.069632
256 ,0.08192
512 ,0.07168
1024 ,0.067584
2048 ,0.065536
4096 ,0.073728
8192 ,0.069632
16384 ,0.072704
32768 ,0.069632
65536 ,0.074752
131072 ,0.248832
262144 ,0.263168
524288 ,0.262144
1048576 ,0.29184
2 ,0.07168
4 ,0.088064
8 ,0.070656
16 ,0.077824
32 ,0.067584
64 ,0.068608
128 ,0.065536
256 ,0.09008
512 ,0.069632
1024 ,0.070624
2048 ,0.069632
4096 ,0.067584
8192 ,0.072704
16384 ,0.07168
32768 ,0.073696
65536 ,0.073728
131072 ,0.278528
262144 ,0.253952
524288 ,0.264192
1048576 ,0.290816
2 ,0.072704
4 ,0.070656
8 ,0.072704
16 ,0.065536
32 ,0.065536
64 ,0.075776
128 ,0.070656
256 ,0.074752
512 ,0.072704
1024 ,0.0768
2048 ,0.073728
4096 ,0.07264
8192 ,0.069632
16384 ,0.07168
32768 ,0.075776
65536 ,0.070656
131072 ,0.269312
262144 ,0.270336
524288 ,0.27136
1048576 ,0.277504
2 ,0.070656
4 ,0.072704
8 ,0.069632
16 ,0.073728
32 ,0.070656
64 ,0.069632
128 ,0.067584
256 ,0.065536
512 ,0.069632
1024 ,0.072704
2048 ,0.073728
4096 ,0.085952
8192 ,0.081888
16384 ,0.072704
32768 ,0.067584
65536 ,0.075776
131072 ,0.246784
262144 ,0.24576
524288 ,0.259072
1048576 ,0.2816
2 ,0.07168
4 ,0.070656
8 ,0.064512
16 ,0.070656
32 ,0.069632
64 ,0.070656
128 ,0.069632
256 ,0.069632
512 ,0.069632
1024 ,0.079872
2048 ,0.068608
4096 ,0.06656
8192 ,0.095232
16384 ,0.099328
32768 ,0.073728
65536 ,0.073728
131072 ,0.2928
262144 ,0.249856
524288 ,0.272384
1048576 ,0.301056
2 ,0.069632
4 ,0.073728
8 ,0.07168
16 ,0.0768
32 ,0.07168
64 ,0.069632
128 ,0.07168
256 ,0.069632
512 ,0.070656
1024 ,0.105472
2048 ,0.074752
4096 ,0.070656
8192 ,0.070656
16384 ,0.068608
32768 ,0.073728
65536 ,0.073728
131072 ,0.267264
262144 ,0.26624
524288 ,0.26112
1048576 ,0.306176
2 ,0.067584
4 ,0.067584
8 ,0.094208
16 ,0.067584
32 ,0.07168
64 ,0.070656
128 ,0.063488
256 ,0.07168
512 ,0.072704
1024 ,0.078848
2048 ,0.073728
4096 ,0.093184
8192 ,0.072736
16384 ,0.07168
32768 ,0.072704
65536 ,0.067584
131072 ,0.257024
262144 ,0.257024
524288 ,0.319488
1048576 ,0.29184
2 ,0.0768
4 ,0.070656
8 ,0.064448
16 ,0.067584
32 ,0.07168
64 ,0.070656
128 ,0.07168
256 ,0.064512
512 ,0.06864
1024 ,0.069632
2048 ,0.108544
4096 ,0.0768
8192 ,0.069632
16384 ,0.067584
32768 ,0.072704
65536 ,0.074752
131072 ,0.283648
262144 ,0.257984
524288 ,0.265216
1048576 ,0.27648
2 ,0.06352
4 ,0.069664
8 ,0.070656
16 ,0.06352
32 ,0.070656
64 ,0.069632
128 ,0.069632
256 ,0.067584
512 ,0.072704
1024 ,0.070656
2048 ,0.072704
4096 ,0.070656
8192 ,0.069632
16384 ,0.100352
32768 ,0.10752
65536 ,0.073728
131072 ,0.278528
262144 ,0.255968
524288 ,0.261056
1048576 ,0.274432
2 ,0.068608
4 ,0.065536
8 ,0.070592
16 ,0.073728
32 ,0.069632
64 ,0.070656
128 ,0.067584
256 ,0.07168
512 ,0.064512
1024 ,0.070656
2048 ,0.078848
4096 ,0.070656
8192 ,0.06656
16384 ,0.069632
32768 ,0.090112
65536 ,0.076768
131072 ,0.273408
262144 ,0.246784
524288 ,0.26624
1048576 ,0.283648
2 ,0.067584
4 ,0.069632
8 ,0.069632
16 ,0.067584
32 ,0.070656
64 ,0.068608
128 ,0.069632
256 ,0.069632
512 ,0.070656
1024 ,0.0768
2048 ,0.072704
4096 ,0.064512
8192 ,0.073728
16384 ,0.0768
32768 ,0.068608
65536 ,0.073728
131072 ,0.290816
262144 ,0.256
524288 ,0.2816
1048576 ,0.27648
2 ,0.069632
4 ,0.070656
8 ,0.07168
16 ,0.071648
32 ,0.07168
64 ,0.069632
128 ,0.064512
256 ,0.072704
512 ,0.065504
1024 ,0.073728
2048 ,0.073664
4096 ,0.099328
8192 ,0.064544
16384 ,0.072704
32768 ,0.073728
65536 ,0.098304
131072 ,0.287744
262144 ,0.246784
524288 ,0.283648
1048576 ,0.294912
2 ,0.065536
4 ,0.069632
8 ,0.078816
16 ,0.069664
32 ,0.069632
64 ,0.06656
128 ,0.070656
256 ,0.070656
512 ,0.067616
1024 ,0.07168
2048 ,0.074752
4096 ,0.07168
8192 ,0.070656
16384 ,0.071744
32768 ,0.073728
65536 ,0.07168
131072 ,0.25696
262144 ,0.247808
524288 ,0.283648
1048576 ,0.283648
2 ,0.071712
4 ,0.06656
8 ,0.065472
16 ,0.067584
32 ,0.070656
64 ,0.065536
128 ,0.068608
256 ,0.098304
512 ,0.068608
1024 ,0.079872
2048 ,0.06656
4096 ,0.074688
8192 ,0.07168
16384 ,0.100352
32768 ,0.072704
65536 ,0.07168
131072 ,0.256
262144 ,0.254976
524288 ,0.285696
1048576 ,0.275456
2 ,0.07168
4 ,0.063552
8 ,0.070656
16 ,0.068608
32 ,0.100352
64 ,0.07168
128 ,0.069696
256 ,0.084992
512 ,0.068608
1024 ,0.069632
2048 ,0.09216
4096 ,0.072704
8192 ,0.070656
16384 ,0.073728
32768 ,0.073728
65536 ,0.075776
131072 ,0.251904
262144 ,0.257024
524288 ,0.260096
1048576 ,0.284672
2 ,0.067648
4 ,0.0696
8 ,0.065536
16 ,0.07072
32 ,0.069632
64 ,0.071616
128 ,0.068608
256 ,0.070656
512 ,0.068608
1024 ,0.072704
2048 ,0.086016
4096 ,0.064512
8192 ,0.07168
16384 ,0.07168
32768 ,0.072704
65536 ,0.098304
131072 ,0.278528
262144 ,0.249856
524288 ,0.264192
1048576 ,0.274432
2 ,0.065536
4 ,0.064512
8 ,0.069632
16 ,0.07168
32 ,0.064512
64 ,0.095232
128 ,0.07168
256 ,0.072704
512 ,0.069632
1024 ,0.072704
2048 ,0.105472
4096 ,0.07168
8192 ,0.074752
16384 ,0.07168
32768 ,0.073728
65536 ,0.07168
131072 ,0.27648
262144 ,0.287744
524288 ,0.284608
1048576 ,0.294912
2 ,0.068608
4 ,0.070656
8 ,0.069632
16 ,0.067648
32 ,0.065536
64 ,0.068672
128 ,0.069632
256 ,0.069632
512 ,0.072704
1024 ,0.070656
2048 ,0.073728
4096 ,0.073728
8192 ,0.070656
16384 ,0.073728
32768 ,0.07168
65536 ,0.074752
131072 ,0.254976
262144 ,0.259072
524288 ,0.283648
1048576 ,0.293888
2 ,0.069632
4 ,0.07168
8 ,0.077824
16 ,0.086016
32 ,0.065536
64 ,0.065536
128 ,0.06656
256 ,0.06656
512 ,0.069568
1024 ,0.07168
2048 ,0.078912
4096 ,0.074752
8192 ,0.079872
16384 ,0.074752
32768 ,0.070656
65536 ,0.076736
131072 ,0.268288
262144 ,0.251904
524288 ,0.26112
1048576 ,0.297984
2 ,0.070656
4 ,0.072672
8 ,0.065536
16 ,0.069632
32 ,0.069632
64 ,0.068608
128 ,0.072704
256 ,0.069632
512 ,0.07168
1024 ,0.06656
2048 ,0.07168
4096 ,0.07168
8192 ,0.06656
16384 ,0.067584
32768 ,0.067584
65536 ,0.075712
131072 ,0.27648
262144 ,0.26112
524288 ,0.264192
1048576 ,0.284672
2 ,0.070656
4 ,0.074752
8 ,0.090112
16 ,0.094208
32 ,0.069664
64 ,0.069632
128 ,0.068608
256 ,0.065536
512 ,0.068608
1024 ,0.065472
2048 ,0.070656
4096 ,0.07168
8192 ,0.070656
16384 ,0.07168
32768 ,0.084992
65536 ,0.068608
131072 ,0.24576
262144 ,0.27136
524288 ,0.259072
1048576 ,0.277504
2 ,0.069632
4 ,0.07168
8 ,0.07168
16 ,0.072704
32 ,0.070624
64 ,0.070624
128 ,0.074752
256 ,0.101376
512 ,0.071648
1024 ,0.067584
2048 ,0.079872
4096 ,0.06656
8192 ,0.069632
16384 ,0.07168
32768 ,0.073728
65536 ,0.075776
131072 ,0.25088
262144 ,0.268288
524288 ,0.283648
1048576 ,0.304128
2 ,0.069632
4 ,0.068608
8 ,0.070656
16 ,0.08192
32 ,0.07168
64 ,0.068544
128 ,0.071648
256 ,0.072672
512 ,0.068608
1024 ,0.075776
2048 ,0.070656
4096 ,0.073728
8192 ,0.09728
16384 ,0.065568
32768 ,0.069632
65536 ,0.07168
131072 ,0.26112
262144 ,0.252928
524288 ,0.262144
1048576 ,0.283648
2 ,0.069632
4 ,0.070656
8 ,0.07168
16 ,0.067584
32 ,0.069632
64 ,0.077824
128 ,0.10752
256 ,0.067584
512 ,0.068608
1024 ,0.072704
2048 ,0.072704
4096 ,0.0768
8192 ,0.068608
16384 ,0.070656
32768 ,0.075776
65536 ,0.074752
131072 ,0.251904
262144 ,0.247808
524288 ,0.260096
1048576 ,0.292864
2 ,0.065568
4 ,0.07168
8 ,0.068608
16 ,0.069632
32 ,0.07168
64 ,0.095232
128 ,0.070656
256 ,0.07168
512 ,0.069632
1024 ,0.069632
2048 ,0.073728
4096 ,0.07168
8192 ,0.070656
16384 ,0.07168
32768 ,0.069632
65536 ,0.075776
131072 ,0.252928
262144 ,0.24576
524288 ,0.275456
1048576 ,0.282624
2 ,0.07168
4 ,0.064512
8 ,0.073728
16 ,0.072704
32 ,0.06656
64 ,0.068608
128 ,0.069696
256 ,0.070656
512 ,0.067584
1024 ,0.065536
2048 ,0.073728
4096 ,0.06656
8192 ,0.07168
16384 ,0.073728
32768 ,0.07168
65536 ,0.074752
131072 ,0.2488
262144 ,0.283648
524288 ,0.278528
1048576 ,0.284672
2 ,0.065536
4 ,0.070656
8 ,0.07168
16 ,0.068608
32 ,0.0768
64 ,0.095232
128 ,0.064512
256 ,0.095232
512 ,0.069632
1024 ,0.068576
2048 ,0.074752
4096 ,0.07168
8192 ,0.068608
16384 ,0.07168
32768 ,0.0768
65536 ,0.082944
131072 ,0.2816
262144 ,0.26624
524288 ,0.308224
1048576 ,0.275456
2 ,0.080896
4 ,0.06656
8 ,0.069632
16 ,0.069632
32 ,0.068608
64 ,0.065536
128 ,0.068608
256 ,0.07168
512 ,0.069632
1024 ,0.072704
2048 ,0.074752
4096 ,0.072704
8192 ,0.071712
16384 ,0.109568
32768 ,0.074752
65536 ,0.075776
131072 ,0.247808
262144 ,0.288768
524288 ,0.275456
1048576 ,0.280576
2 ,0.070656
4 ,0.079872
8 ,0.100352
16 ,0.103424
32 ,0.070656
64 ,0.068608
128 ,0.101376
256 ,0.070656
512 ,0.064512
1024 ,0.07168
2048 ,0.073728
4096 ,0.068672
8192 ,0.065536
16384 ,0.072704
32768 ,0.078848
65536 ,0.074752
131072 ,0.285632
262144 ,0.254976
524288 ,0.257024
1048576 ,0.274432
2 ,0.070656
4 ,0.070656
8 ,0.075776
16 ,0.070656
32 ,0.070656
64 ,0.069632
128 ,0.07168
256 ,0.070624
512 ,0.069632
1024 ,0.069632
2048 ,0.073728
4096 ,0.074752
8192 ,0.068608
16384 ,0.07168
32768 ,0.069632
65536 ,0.071744
131072 ,0.259072
262144 ,0.253952
524288 ,0.278528
1048576 ,0.301056
2 ,0.065536
4 ,0.070656
8 ,0.072704
16 ,0.1024
32 ,0.073728
64 ,0.065472
128 ,0.070656
256 ,0.08192
512 ,0.065536
1024 ,0.070656
2048 ,0.073792
4096 ,0.07168
8192 ,0.06656
16384 ,0.069632
32768 ,0.06656
65536 ,0.072736
131072 ,0.288768
262144 ,0.248832
524288 ,0.26112
1048576 ,0.304128
