Size, Time
16777216,0.479264
33554432,0.84352
67108864,1.50742
2,0.123904
4,0.131072
8,0.132096
16,0.14336
32,0.151552
64,0.150528
128,0.150528
256,0.151552
512,0.142336
1024,0.365568
2048,0.180224
4096,0.135168
8192,0.18944
16384,0.09728
32768,0.222496
65536,0.0904
131072,0.166912
262144,0.136992
524288,0.141536
1048576,0.148064
2097152,0.152608
4194304,0.2192
8388608,0.321088
16777216,0.49312
33554432,0.819456
67108864,1.51344
2,0.146432
4,0.137216
8,0.147456
16,0.156672
32,0.153568
64,0.161792
128,0.155648
256,0.123904
512,0.155648
1024,0.191488
2048,0.113664
4096,0.098304
8192,0.109568
16384,0.096288
32768,0.09648
65536,0.163744
131072,0.155264
262144,0.13456
524288,0.176832
1048576,0.154528
2097152,0.179584
4194304,0.250528
8388608,0.314912
16777216,0.517216
33554432,0.828576
67108864,1.54973
2,0.119808
4,0.12384
8,0.150528
16,0.130048
32,0.182272
64,0.155616
128,0.150528
256,0.130048
512,0.118784
1024,0.109568
2048,0.128
4096,0.124928
8192,0.1024
16384,0.094208
32768,0.11808
65536,0.176928
131072,0.156672
262144,0.133056
524288,0.13488
1048576,0.15712
2097152,0.153824
4194304,0.235872
8388608,0.335136
16777216,0.51648
33554432,0.819008
67108864,1.5392
2,0.14848
4,0.128
8,0.157696
16,0.155616
32,0.130048
64,0.124928
128,0.1536
256,0.161792
512,0.14848
1024,0.111616
2048,0.144352
4096,0.109568
8192,0.103424
16384,0.1024
32768,0.085952
65536,0.08096
131072,0.0688
262144,0.12928
524288,0.1456
1048576,0.1568
2097152,0.169664
4194304,0.26608
8388608,0.304704
16777216,0.489728
33554432,0.800896
67108864,1.50963
2,0.160768
4,0.135168
8,0.1136
16,0.149472
32,0.123904
64,0.147456
128,0.128
256,0.154688
512,0.151552
1024,0.059392
2048,0.120832
4096,0.114688
8192,0.094208
16384,0.132096
32768,0.172544
65536,0.089056
131072,0.14672
262144,0.134336
524288,0.144096
1048576,0.15824
2097152,0.157856
4194304,0.216992
8388608,0.306048
16777216,0.486464
33554432,0.83216
67108864,1.52288
2,0.134144
4,0.152576
8,0.134144
16,0.128
32,0.100352
64,0.130048
128,0.139264
256,0.122816
512,0.139264
1024,0.115712
2048,0.115712
4096,0.116736
8192,0.187392
16384,0.154624
32768,0.09792
65536,0.076864
131072,0.145568
262144,0.129248
524288,0.27904
1048576,0.160032
2097152,0.154336
4194304,0.20768
8388608,0.306848
16777216,0.4776
33554432,0.827936
67108864,1.51434
2,0.104448
4,0.126976
8,0.126976
16,0.1536
32,0.154624
64,0.171008
128,0.125952
256,0.149504
512,0.165888
1024,0.109568
2048,0.181248
4096,0.105536
8192,0.150496
16384,0.185344
32768,0.180608
65536,0.168064
131072,0.069408
262144,0.154976
524288,0.139648
1048576,0.162528
2097152,0.145632
4194304,0.275488
8388608,0.315936
16777216,0.493792
33554432,0.815744
67108864,1.50848
2,0.132096
4,0.130048
8,0.139296
16,0.13312
32,0.147456
64,0.149504
128,0.12288
256,0.130048
512,0.129024
1024,0.142336
2048,0.18432
4096,0.372736
8192,0.181248
16384,0.205824
32768,0.090048
65536,0.07744
131072,0.153536
262144,0.126976
524288,0.144896
1048576,0.158688
2097152,0.156192
4194304,0.25216
8388608,0.307584
16777216,0.474592
33554432,0.824896
67108864,1.50493
2,0.12288
4,0.119872
8,0.126976
16,0.149504
32,0.121856
64,0.134144
128,0.152576
256,0.126976
512,0.152576
1024,0.108544
2048,0.096256
4096,0.222208
8192,0.137216
16384,0.09216
32768,0.126784
65536,0.193824
131072,0.149984
262144,0.045472
524288,0.142432
1048576,0.15712
2097152,0.153664
4194304,0.222464
8388608,0.31056
16777216,0.482784
33554432,0.821248
67108864,1.49891
2,0.134112
4,0.12288
8,0.15152
16,0.113664
32,0.15872
64,0.1536
128,0.15968
256,0.130048
512,0.145408
1024,0.104448
2048,0.120832
4096,0.134144
8192,0.116736
16384,0.09728
32768,0.094272
65536,0.079648
131072,0.183552
262144,0.132032
524288,0.14128
1048576,0.157056
2097152,0.1544
4194304,0.238752
8388608,0.348704
16777216,0.48256
33554432,0.827808
67108864,1.50173
2,0.115712
4,0.147456
8,0.139264
16,0.163904
32,0.14848
64,0.128
128,0.149504
256,0.124928
512,0.145408
1024,0.048128
2048,0.161792
4096,0.101376
8192,0.11872
16384,0.091136
32768,0.090432
65536,0.078944
131072,0.188768
262144,0.13392
524288,0.132512
1048576,0.161504
2097152,0.1528
4194304,0.246752
8388608,0.325184
16777216,0.49248
33554432,0.82144
67108864,1.50954
2,0.208896
4,0.130048
8,0.151552
16,0.147456
32,0.147456
64,0.151552
128,0.172032
256,0.149504
512,0.14848
1024,0.114752
2048,0.365568
4096,0.128
8192,0.116736
16384,0.095232
32768,0.092736
65536,0.19728
131072,0.216864
262144,0.145888
524288,0.131808
1048576,0.156448
2097152,0.155584
4194304,0.224608
8388608,0.321856
16777216,0.48256
33554432,0.824736
67108864,1.53958
2,0.129024
4,0.146432
8,0.119808
16,0.164864
32,0.156672
64,0.155648
128,0.156672
256,0.100352
512,0.152576
1024,0.211968
2048,0.116736
4096,0.192512
8192,0.149504
16384,0.188416
32768,0.356672
65536,0.211392
131072,0.086848
262144,0.13456
524288,0.14128
1048576,0.16224
2097152,0.15792
4194304,0.217728
8388608,0.326752
16777216,0.493856
33554432,0.82768
67108864,1.51539
2,0.152576
4,0.125952
8,0.134144
16,0.124928
32,0.128
64,0.1536
128,0.125952
256,0.122848
512,0.137216
1024,0.123904
2048,0.135168
4096,0.11776
8192,0.11264
16384,0.110592
32768,0.092736
65536,0.0856
131072,0.158144
262144,0.132448
524288,0.157472
1048576,0.152832
2097152,0.152224
4194304,0.219616
8388608,0.331872
16777216,0.533248
33554432,0.850144
67108864,1.50451
2,0.13824
4,0.121856
8,0.120832
16,0.159744
32,0.132096
64,0.159744
128,0.14848
256,0.150528
512,0.161792
1024,0.109568
2048,0.167936
4096,0.052224
8192,0.044032
16384,0.145408
32768,0.176672
65536,0.091808
131072,0.207776
262144,0.13472
524288,0.141728
1048576,0.127968
2097152,0.15472
4194304,0.220864
8388608,0.3088
16777216,0.49712
33554432,0.820032
67108864,1.53603
2,0.139264
4,0.131072
8,0.125952
16,0.149568
