Size, Time 
16384 ,0.095232
32768 ,0.07168
65536 ,0.069632
131072 ,0.073728
262144 ,0.28672
524288 ,0.259072
1048576 ,0.258048
2 ,0.068608
4 ,0.09216
8 ,0.083968
16 ,0.06448
32 ,0.069632
64 ,0.098304
128 ,0.068608
256 ,0.062464
512 ,0.078848
1024 ,0.067584
2048 ,0.070656
4096 ,0.064576
8192 ,0.068608
16384 ,0.067584
32768 ,0.069632
65536 ,0.077824
131072 ,0.070656
262144 ,0.257024
524288 ,0.249856
1048576 ,0.275456
2 ,0.069632
4 ,0.063488
8 ,0.069632
16 ,0.069632
32 ,0.07168
64 ,0.067584
128 ,0.067584
256 ,0.067584
512 ,0.09216
1024 ,0.067584
2048 ,0.069632
4096 ,0.070656
8192 ,0.073728
16384 ,0.063488
32768 ,0.063488
65536 ,0.069696
131072 ,0.090112
262144 ,0.26112
524288 ,0.285696
1048576 ,0.259072
2 ,0.068576
4 ,0.068608
8 ,0.068608
16 ,0.069632
32 ,0.069632
64 ,0.070656
128 ,0.06656
256 ,0.067584
512 ,0.067616
1024 ,0.065536
2048 ,0.070656
4096 ,0.06656
8192 ,0.063488
16384 ,0.068608
32768 ,0.069632
65536 ,0.068608
131072 ,0.073728
262144 ,0.262144
524288 ,0.248832
1048576 ,0.26112
2 ,0.063488
4 ,0.068608
8 ,0.068608
16 ,0.100352
32 ,0.069632
64 ,0.065536
128 ,0.067584
256 ,0.068608
512 ,0.099328
1024 ,0.069632
2048 ,0.07168
4096 ,0.069632
8192 ,0.067584
16384 ,0.068608
32768 ,0.074752
65536 ,0.068608
131072 ,0.07168
262144 ,0.242688
524288 ,0.263168
1048576 ,0.260096
2 ,0.068608
4 ,0.070656
8 ,0.067584
16 ,0.069696
32 ,0.07168
64 ,0.067584
128 ,0.06656
256 ,0.067584
512 ,0.0768
1024 ,0.068608
2048 ,0.069632
4096 ,0.065536
8192 ,0.068608
16384 ,0.063488
32768 ,0.070656
65536 ,0.064512
131072 ,0.072704
262144 ,0.26112
524288 ,0.243712
1048576 ,0.259072
2 ,0.067616
4 ,0.068608
8 ,0.069632
16 ,0.067584
32 ,0.069632
64 ,0.068608
128 ,0.077824
256 ,0.068608
512 ,0.067584
1024 ,0.070656
2048 ,0.067584
4096 ,0.06656
8192 ,0.072704
16384 ,0.077824
32768 ,0.066624
65536 ,0.072704
131072 ,0.072704
262144 ,0.242688
524288 ,0.247808
1048576 ,0.260032
2 ,0.070656
4 ,0.096192
8 ,0.064512
16 ,0.064512
32 ,0.068672
64 ,0.069632
128 ,0.068608
256 ,0.06656
512 ,0.068608
1024 ,0.063488
2048 ,0.06656
4096 ,0.072704
8192 ,0.065536
16384 ,0.070656
32768 ,0.070656
65536 ,0.095232
131072 ,0.07168
262144 ,0.248832
524288 ,0.249824
1048576 ,0.252928
2 ,0.068608
4 ,0.069632
8 ,0.075776
16 ,0.065536
32 ,0.075776
64 ,0.069632
128 ,0.067584
256 ,0.072704
512 ,0.067584
1024 ,0.078848
2048 ,0.0768
4096 ,0.078848
8192 ,0.068544
16384 ,0.070656
32768 ,0.069632
65536 ,0.070656
131072 ,0.088064
